Drug Name,SMILES,logS,Number of Nodes,Number of Edges,Number of Edge Attributes,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,drugbank_id,Drug Type,chembl
CRYPTOTANSHINONE,CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,-3.7335281396939215,22,25,3,1,296.366,0,4,0,43.370000000000005,,Non-Drug,CHEMBL1518673
CUCURBITACIN B,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O)O,-2.442800588370062,40,43,2,1,558.7120000000004,3,4,5,138.20000000000002,,Non-Drug,CHEMBL508185
CUCURBITACIN B,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O)O,-1.9984232712043966,40,43,2,1,558.7120000000004,3,4,5,138.20000000000002,,Non-Drug,CHEMBL1708265
CUCURBITACIN B,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O)O,-4.791653672649073,40,43,2,1,558.7120000000004,3,4,5,138.20000000000002,,Non-Drug,CHEMBL1728549
CUCURBITACIN B,CC(=CCCC(C)(C=C)C=CC1=CC=C(C=C1)O)C,-6.333725080084771,19,19,3,1,256.389,1,1,6,20.23,,Non-Drug,CHEMBL262344
CUCURBITACIN B,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O)O,-5.611071437154424,40,43,2,1,558.7120000000004,3,4,5,138.20000000000002,,Non-Drug,CHEMBL507237
CUMENE HYDROPEROXIDE,CC(C)(C1=CC=CC=C1)OO,-6.156577523963241,11,11,2,1,152.19299999999996,1,1,2,29.46,,Non-Drug,CHEMBL1518369
CURCUMIN,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,-0.6247428566111264,27,28,3,1,368.38500000000005,2,2,8,93.06000000000002,,Non-Drug,CHEMBL3187799
CURCUMIN,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,-1.7755083477495086,27,28,3,1,368.38500000000005,2,2,8,93.06000000000002,,Non-Drug,CHEMBL140
CX 659S,CC1=C(C2=C(CCC(O2)(C)C(=O)NC3=C(N(C(=O)N(C3=O)C)C4=CC=CC=C4)N)C(=C1O)C)C,-0.14073508517042654,34,37,3,1,464.5220000000002,3,4,3,128.57999999999998,,Non-Drug,CHEMBL3764203
CYANIDIN,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O.[Cl-],-3.1991219552873167,22,23,2,0,322.69999999999993,5,3,1,112.45000000000002,,Non-Drug,CHEMBL511367
CYANIDIN,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O,-0.5882211494670679,21,23,2,1,287.24699999999996,5,3,1,112.45000000000002,,Non-Drug,CHEMBL404515
CYANIDIN 3-O-GLUCOPYRANOSIDE,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O,0.263167916948583,32,35,2,1,449.3880000000001,8,4,4,191.59999999999997,,Non-Drug,CHEMBL257839
CYANIDIN 3-O-GLUCOSIDE,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O,-4.688554953002786,32,35,2,1,449.3880000000001,8,4,4,191.59999999999997,,Non-Drug,CHEMBL257839
CYANOGINOSIN LR,CC1C(NC(=O)C(NC(=O)C(C(NC(=O)C(NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CCCN=C(N)N)C=CC(=CC(C)C(CC2=CC=CC=C2)OC)C,1.4208431905583687,71,72,3,1,995.1889999999996,10,2,15,343.14,,Non-Drug,CHEMBL444092
CYANURIC CHLORIDE,C1(=NC(=NC(=N1)Cl)Cl)Cl,-3.7344803079459754,9,9,2,1,184.413,0,1,0,38.67,,Non-Drug,CHEMBL1530777
CYAZOFAMID,CC1=CC=C(C=C1)C2=C(N=C(N2S(=O)(=O)N(C)C)C#N)Cl,-4.239610401048971,21,22,4,1,324.793,0,2,3,78.99000000000001,,Non-Drug,CHEMBL1863429
CYCLAMATES,C1CCC(CC1)NS(=O)(=O)O,-3.5963897542792407,11,11,2,1,179.241,2,1,2,66.4,,Non-Drug,CHEMBL1206440
CYCLAMEN ALDEHYDE,CC(C)C1=CC=C(C=C1)CC(C)C=O,-0.3495548713888459,14,14,3,1,190.28599999999994,0,1,4,17.07,,Non-Drug,CHEMBL3183483
CYCLO(TRP-ASP-PRO-VAL-LEU),CC(C)CC1C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)N1)C(C)C)CC(=O)O)CC3=CNC4=CC=CC=C43,1.6045229977851996,44,47,3,1,610.7120000000002,6,4,7,189.79999999999998,,Non-Drug,CHEMBL314691
CYCLOHEXIMIDE,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,-3.669385901239276,20,21,2,1,281.352,2,2,3,83.47,,Non-Drug,CHEMBL225699
CYCLOHEXIMIDE,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,-1.0047745564430706,20,21,2,1,281.352,2,2,3,83.47,,Non-Drug,CHEMBL123292
CYCLOHEXIMIDE,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,-5.59621775957214,20,21,2,1,281.352,2,2,3,83.47,,Non-Drug,CHEMBL1078564
CYCLOHEXIMIDE,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,-3.0976113400678558,20,21,2,1,281.352,2,2,3,83.47,,Non-Drug,CHEMBL1358722
CYCLOPENTANOL,C1CCC(C1)O,-6.527950874929348,6,6,1,1,86.134,1,1,0,20.23,,Non-Drug,CHEMBL288998
CYFLUTHRIN,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,-4.677599643437981,29,31,4,1,434.29400000000004,0,3,6,59.32000000000001,,Non-Drug,CHEMBL2104608
CYFLUTHRIN,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,-1.608854134829584,29,31,4,1,434.29400000000004,0,3,6,59.32000000000001,,Non-Drug,CHEMBL1871136
CYHALOTHRIN,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C,-2.217869438183671,31,33,4,1,449.85600000000005,0,3,6,59.32000000000001,,Non-Drug,CHEMBL2105498
CYHALOTHRIN,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C,-6.345348519270912,31,33,4,1,449.85600000000005,0,3,6,59.32000000000001,,Non-Drug,CHEMBL1905223
CYHALOTHRIN,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C,-1.4243927474775813,31,33,4,1,449.85600000000005,0,3,6,59.32000000000001,,Non-Drug,CHEMBL3183713
CYHALOTHRIN,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C,-4.936961719307626,31,33,4,1,449.85600000000005,0,3,6,59.32000000000001,,Non-Drug,CHEMBL2251732
CYLINDROSPERMOPSIN,CC1C(CC2CC(N=C3N2C1CN3)C(C4=CC(=O)NC(=O)N4)O)OS(=O)(=O)O,1.2385570518159401,28,31,3,1,415.4280000000001,5,4,4,177.17999999999998,,Non-Drug,CHEMBL1722002
CYSTATHIONINE,C(CSCC(C(=O)O)N)C(C(=O)O)N,-1.4228951252369901,14,13,2,1,222.266,4,0,7,126.63999999999999,,Non-Drug,CHEMBL209241
CYTOCHALASIN B,CC1CCCC(C=CC(=O)OC23C(C=CC1)C(C(=C)C(C2C(NC3=O)CC4=CC=CC=C4)C)O)O,-1.8352270876046992,35,38,3,1,479.61700000000013,3,4,2,95.86,,Non-Drug,CHEMBL411729
CYTOCHALASIN B,CC1CCCC(C=CC(=O)OC23C(C=CC1)C(C(=C)C(C2C(NC3=O)CC4=CC=CC=C4)C)O)O,-2.24509129360107,35,38,3,1,479.61700000000013,3,4,2,95.86,,Non-Drug,CHEMBL56897
CYTOCHALASIN B,CC1CCCC(C=CC(=O)OC23C(C=CC1)C(C(=C)C(C2C(NC3=O)CC4=CC=CC=C4)C)O)O,-3.9488463910808616,35,38,3,1,479.61700000000013,3,4,2,95.86,,Non-Drug,CHEMBL4168447
CYTOCHALASIN B,CC1CCCC(C=CC(=O)OC23C(C=CC1)C(C(=C)C(C2C(NC3=O)CC4=CC=CC=C4)C)O)O,1.005562116395856,35,38,3,1,479.61700000000013,3,4,2,95.86,,Non-Drug,CHEMBL1554187
CYTOCHALASIN B,CC1CCCC(C=CC(=O)OC23C(C=CC1)C(C(=C(C2C(NC3=O)CC4=CC=CC=C4)C)C)O)O,0.20663577726689653,35,38,3,1,479.61700000000013,3,4,2,95.86,,Non-Drug,CHEMBL2018715
CYTOCHALASIN D,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,1.86569446908101,37,40,3,1,507.62700000000024,3,4,3,112.93,,Non-Drug,CHEMBL260287
CYTOCHALASIN D,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,-1.8771917499012751,37,40,3,1,507.62700000000024,3,4,3,112.93,,Non-Drug,CHEMBL158762
CYTOCHALASIN D,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,-2.8758390945620746,37,40,3,1,507.62700000000024,3,4,3,112.93,,Non-Drug,CHEMBL1975837
CYTOCHALASIN D,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,-1.7678772199418509,37,40,3,1,507.62700000000024,3,4,3,112.93,,Non-Drug,CHEMBL1446029
CYTOCHALASIN D,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,-5.484627847432629,37,40,3,1,507.62700000000024,3,4,3,112.93,,Non-Drug,CHEMBL2361294
D-JNKI-1,CC(C)CC(C(=O)NC(CC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(C(C)O)C(=O)NC(C(C)O)C(=O)N1CCCC1C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)N2CCCC2C(=O)NC(CCCNC(=N)N)C(=O)N3CCCC3C(=O)N4CCCC4C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C6CCCN6C(=O)C(CCC(=O)N)NC(=O)C(C(C)C)NC(=O)C7CCCN7C(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C(CCC(=O)N)NC(=O)C(CC(=O)O)N,-4.736214889972452,270,276,3,1,3823.4979999999923,64,7,126,1789.0899999999983,,Non-Drug,CHEMBL4297348
DAIDZEIN,CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)CCC(=O)O)C,-6.618741844980741,38,39,3,1,530.7900000000004,1,2,16,72.83,,Non-Drug,CHEMBL3561966
DAIDZEIN,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,-4.555315274840635,19,21,3,1,254.24099999999999,2,3,1,70.67,,Non-Drug,CHEMBL8145
DAIDZEIN,C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O,0.930903205362184,21,22,3,1,284.311,2,2,5,66.76,,Non-Drug,CHEMBL319244
DAMASCENONE,CC=CC(=O)C1=C(C=CCC1(C)C)C,0.9899780454635563,14,14,2,1,190.28599999999994,0,1,2,17.07,,Non-Drug,CHEMBL3733030
DARINAPARSIN,C[As](C)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,-6.989540010614544,23,22,2,1,411.3120000000002,5,0,11,158.82,,Non-Drug,CHEMBL3247378
DAZOMET,CN1CN(C(=S)SC1)C,0.44324084692695287,9,9,2,1,162.283,0,1,0,6.48,,Non-Drug,CHEMBL1407826
DDMS,CS(=O)(=O)NC(=O)CCCCCCCCCC=C(Br)Br,-3.5012510245703314,20,19,2,1,433.2059999999999,1,0,11,63.24,,Non-Drug,CHEMBL184786
DECABROMOBIPHENYL ETHER,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br,-5.416149107694351,23,24,2,1,959.1709999999999,0,2,2,9.23,,Non-Drug,CHEMBL229975
DECAMETHRIN,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,-1.2519447406897903,28,30,4,1,505.2060000000001,0,3,6,59.32000000000001,,Non-Drug,CHEMBL1593566
DECURSIN,CC(=CC(=O)OC1CC2=C(C=C3C(=C2)C=CC(=O)O3)OC1(C)C)C,0.1611066314100693,24,26,3,1,328.3640000000001,0,3,2,65.74000000000001,,Non-Drug,CHEMBL481658
DECURSIN,CC(=CC(=O)OC1CC2=C(C=C3C(=C2)C=CC(=O)O3)OC1(C)C)C,-4.86408669668117,24,26,3,1,328.3640000000001,0,3,2,65.74000000000001,,Non-Drug,CHEMBL462319
DECURSIN,CC(=CC(=O)OC1CC2=C(C=C3C(=C2)C=CC(=O)O3)OC1(C)C)C,-3.54152616716542,24,26,3,1,328.3640000000001,0,3,2,65.74000000000001,,Non-Drug,CHEMBL1715398
DEET,CCN(CC)C(=O)C1=CC=CC(=C1)C,1.4244488626031728,14,14,3,1,191.274,0,1,3,20.310000000000002,,Non-Drug,CHEMBL1453317
DEGUELIN,CC1(C=CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC)C,-2.3974457420438853,29,33,3,1,394.4230000000002,0,5,2,63.22000000000001,,Non-Drug,CHEMBL393417
DEGUELIN,CC1(C=CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC)C,-0.8621987278862768,29,33,3,1,394.4230000000002,0,5,2,63.22000000000001,,Non-Drug,CHEMBL1592086
DEHYDROCOSTUS LACTONE,C=C1CCC2C(C3C1CCC3=C)OC(=O)C2=C,-4.001386704714527,17,19,2,1,230.3069999999999,0,3,0,26.3,,Non-Drug,CHEMBL88985
DEHYDROCOSTUS LACTONE,C=C1CCC2C(C3C1CCC3=C)OC(=O)C2=C,-3.3219716234178245,17,19,2,1,230.3069999999999,0,3,0,26.3,,Non-Drug,CHEMBL1939730
DEHYDROXYMETHYLEPOXYQUINOMICIN,C1=CC=C(C(=C1)C(=O)NC2=CC(=O)C3C(C2O)O3)O,-6.009855029376285,19,21,3,1,261.233,3,3,2,99.16000000000001,,Non-Drug,CHEMBL169300
DELPHINIDIN,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O.[Cl-],-3.066256998403882,23,24,2,0,338.69899999999996,6,3,1,132.68,,Non-Drug,CHEMBL590878
DELPHINIDIN,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O,1.8745640491168167,22,24,2,1,303.246,6,3,1,132.68,,Non-Drug,CHEMBL590878
DELPHINIDIN 3-O-GLUCOPYRANOSIDE,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O,1.6221984630561597,33,36,2,1,465.3870000000001,9,4,4,211.82999999999996,,Non-Drug,CHEMBL518846
DELTA-8-TETRAHYDROCANNABINOL,CCCCCC1=CC(=C2C3CC(=CCC3C(OC2=C1)(C)C)C)O,-1.4760530698181,23,25,3,1,314.46900000000005,1,3,4,29.46,,Non-Drug,CHEMBL46518
DELTA-8-TETRAHYDROCANNABINOL,CCCCCC1=CC(=C2C3CC(=CCC3C(OC2=C1)(C)C)C)O,-5.366968341253886,23,25,3,1,314.46900000000005,1,3,4,29.46,,Non-Drug,CHEMBL267227
DELTA-8-TETRAHYDROCANNABINOL,CCCCCC1=CC(=C2C3CC(=CCC3C(OC2=C1)(C)C)C)O,0.11899881505389409,23,25,3,1,314.46900000000005,1,3,4,29.46,,Non-Drug,CHEMBL275933
DELTA-8-TETRAHYDROCANNABINOL,CCCCCC1=CC(=C2C3CC(=CCC3C(OC2=C1)(C)C)C)O,-3.103641374113401,23,25,3,1,314.46900000000005,1,3,4,29.46,,Non-Drug,CHEMBL464679
DELTA-TOCOPHEROL,CC1=CC(=CC2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)O,-1.894988725262996,29,30,2,1,402.6630000000002,1,2,12,29.46,,Non-Drug,CHEMBL1451395
DELTA-TOCOPHEROL,CC1=CC(=CC2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)O,-4.773671214403187,29,30,2,1,402.6630000000002,1,2,12,29.46,,Non-Drug,CHEMBL1734310
DEMECOLCINE,CNC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,-5.7187786972999675,27,29,3,1,371.43300000000016,1,3,5,66.02000000000001,,Non-Drug,CHEMBL433632
DEMECOLCINE,CNC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,1.1703542179627782,27,29,3,1,371.43300000000016,1,3,5,66.02000000000001,,Non-Drug,CHEMBL312862
DEMETHOXYCURCUMIN,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O,-1.2979720095302971,25,26,3,1,338.359,2,2,7,83.83000000000001,,Non-Drug,CHEMBL105360
DENBUFYLLINE,CCCCN1C2=C(C(=O)N(C1=O)CCCC)N(C=N2)CC(=O)C,0.4712037484339904,23,24,3,1,320.39300000000003,0,2,8,78.89,,Non-Drug,CHEMBL277465
DEOXYNIVALENOL,CC1=CC2C(C(C1=O)O)(C3(CC(C(C34CO4)O2)O)C)CO,-5.556481184163218,21,24,2,1,296.319,3,4,1,99.52000000000001,,Non-Drug,CHEMBL513300
DESETHYLAMIODARONE,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCNCC)I,-6.003109407988455,29,31,3,1,617.2650000000001,1,3,10,51.47,,Non-Drug,CHEMBL1600
DESOXYCORTICOSTERONE,CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,-3.8317658339612697,24,27,2,1,330.46800000000013,1,4,2,54.37,,Non-Drug,CHEMBL1498
DESOXYCORTICOSTERONE,CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,-6.377051764036223,24,27,2,1,330.46800000000013,1,4,2,54.37,,Non-Drug,CHEMBL1314138
DESOXYCORTICOSTERONE ACETATE,CC(=O)OCC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,1.75378022883557,27,30,2,1,372.50500000000017,0,4,3,60.440000000000005,,Non-Drug,CHEMBL1200542
DEXAMETHASONE 21-PHOSPHATE,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)(O)O)O)C)O)F)C,-4.543491375426333,32,35,2,1,472.44600000000014,4,4,4,141.36,,Non-Drug,CHEMBL1201302
DEXAMETHASONE 21-PHOSPHATE,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C.[Na+].[Na+],-0.19456682175442452,34,35,2,0,516.4100000000002,2,4,4,147.02,,Non-Drug,CHEMBL2021430
"DI-2-PYRIDYLKETONE-4,4-DIMETHYL-3-THIOSEMICARBAZONE",CN(C)C(=S)NN=C(C1=CC=CC=N1)C2=CC=CC=N2,-6.8145513937229945,20,21,3,1,285.37600000000003,1,2,3,53.41,,Non-Drug,CHEMBL385064
DIACETYL,CC(=O)C(=O)C,-3.3839833814404563,6,5,2,1,86.08999999999999,0,0,1,34.14,,Non-Drug,CHEMBL365809
DIACETYLDICHLOROFLUORESCEIN,CC(=O)CC(=O)N(C)C,-0.2699677824662521,9,8,2,1,129.159,0,0,2,37.38,,Non-Drug,CHEMBL3185062
DIACETYLRHEIN,CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,-2.7388073773433037,27,29,3,1,368.29700000000014,1,3,3,124.04,,Non-Drug,CHEMBL41286
DIALLYL TRISULFIDE,C=CCSSSCC=C,1.797223441355973,9,8,2,1,178.34699999999998,0,0,6,0.0,,Non-Drug,CHEMBL123040
DIAMIDE,CN(C)C(=O)N=NC(=O)N(C)C,-5.436323367731585,12,11,2,1,172.188,0,0,0,65.34,,Non-Drug,CHEMBL1338900
DIAMIDE,NN,-6.611599501459874,2,1,1,1,32.046,2,0,0,52.04,,Non-Drug,CHEMBL1237174
DIAMIDE,CN(C)C(=O)N=NC(=O)N(C)C,-3.55026767575925,12,11,2,1,172.188,0,0,0,65.34,,Non-Drug,CHEMBL1255835
DIAMIDE,CN(C)C(=O)N=NC(=O)N(C)C,1.754345218546069,12,11,2,1,172.188,0,0,0,65.34,,Non-Drug,CHEMBL1359513
DIAPOCYNIN,CC(=O)C1=CC(=C(C(=C1)OC)O)C2=C(C(=CC(=C2)C(=O)C)OC)O,1.505116644397738,24,25,3,1,330.33600000000007,2,2,5,93.06,,Non-Drug,CHEMBL38775
DIARYLPROPIONITRILE,C1=CC(=CC=C1CC(C#N)C2=CC=C(C=C2)O)O,-2.945656223646526,18,19,3,1,239.274,2,2,3,64.25,,Non-Drug,CHEMBL334773
DIAZINON,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,-5.218573463636516,19,19,3,1,304.35200000000003,0,1,7,53.47,,Non-Drug,CHEMBL388560
DIAZINON,C1=CC(=O)NN=C1,-2.020122282367632,7,7,2,1,96.08899999999998,1,1,0,45.75,,Non-Drug,CHEMBL3228881
DIAZOXON,CCOP(=O)(OCC)OC1=NC(=NC(=C1)C)C(C)C,-1.266443822474697,19,19,3,1,288.28400000000005,0,1,7,70.54,,Non-Drug,CHEMBL1901616
DIBENZOTHIOPHENE,C1=CC=C2C(=C1)C3=CC=CC=C3S2,1.5887152232744697,13,15,1,2,184.26299999999998,0,3,0,0.0,,Non-Drug,CHEMBL219828
DIBUTYL PHTHALATE,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,-4.558448587020494,20,20,3,1,278.348,0,1,8,52.60000000000001,,Non-Drug,CHEMBL272485
DICHLOBANIL,C1=CC(=C(C(=C1)Cl)C#N)Cl,-1.0710129095620156,10,10,3,1,172.01399999999998,0,1,0,23.79,,Non-Drug,CHEMBL3039332
DICHLORODIPHENYL DICHLOROETHYLENE,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,-3.8480725361039276,18,19,3,1,318.03,0,2,2,0.0,,Non-Drug,CHEMBL363207
DICHLORVOS,COP(=O)(OC)OC=C(Cl)Cl,-2.1747177096020867,11,10,2,1,220.976,0,0,4,44.760000000000005,,Non-Drug,CHEMBL167911
DICROTOPHOS,CC(=CC(=O)N(C)C)OP(=O)(OC)OC,-2.1990448919450127,15,14,2,1,237.19199999999998,0,0,5,65.07000000000001,,Non-Drug,CHEMBL1876467
DICYCLOHEXYL PHTHALATE,C1CCC(CC1)OC(=O)C2=CC=CC=C2C(=O)OC3CCCCC3,-4.278555904837827,24,26,3,1,330.4240000000002,0,3,4,52.60000000000001,,Non-Drug,CHEMBL3185893
DICYCLOHEXYL PHTHALATE,C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2C(=O)OC3=CC=CC=C3,-0.34603137932920536,24,26,3,1,318.328,0,3,4,52.60000000000001,,Non-Drug,CHEMBL1704716
DIELDRIN,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.453956868053513,19,23,2,1,380.9129999999999,0,5,0,12.53,,Non-Drug,CHEMBL44072
DIELDRIN,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-0.41686907725865385,19,23,2,1,380.9129999999999,0,5,0,12.53,,Non-Drug,CHEMBL1873703
DIETHANOLAMINE,C(CO)NCCO,-5.707108621542247,7,6,1,1,105.137,3,0,4,52.489999999999995,,Non-Drug,CHEMBL119604
DIETHYL MALATE,CCOC(=O)CC(C(=O)OCC)O,-6.288663038158134,13,12,2,1,190.19499999999996,1,0,5,72.83000000000001,,Non-Drug,CHEMBL3305989
DIETHYL MALATE,CCOC(=O)C=CC(=O)OCC,-3.170219180856387,12,11,2,1,172.17999999999995,0,0,4,52.60000000000001,,Non-Drug,CHEMBL2037000
DIETHYL MALEATE,CCOC(=O)C=CC(=O)OCC,0.6937839430386834,12,11,2,1,172.17999999999995,0,0,4,52.60000000000001,,Non-Drug,CHEMBL3187857
DIETHYL MALEATE,CCOC(=O)C=CC(=O)OCC,1.8352676149732954,12,11,2,1,172.17999999999995,0,0,4,52.60000000000001,,Non-Drug,CHEMBL2037000
DIETHYL PHTHALATE,CCOC(=O)C1=CC=CC=C1C(=O)OCC,-1.719439737216275,16,16,3,1,222.23999999999995,0,1,4,52.60000000000001,,Non-Drug,CHEMBL388558
DIETHYLHEXYL PHTHALATE,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,-0.6817678188772405,28,28,3,1,390.5640000000003,0,1,14,52.60000000000001,,Non-Drug,CHEMBL1242017
DIETHYLNITROSAMINE,CCN(CC)N=O,-3.998018447517297,7,6,2,1,102.137,0,0,3,32.67,,Non-Drug,CHEMBL164290
DIETHYLNITROSAMINE,CCNCC,-1.049708119078682,5,4,1,1,73.139,1,0,2,12.03,,Non-Drug,CHEMBL1189
DIFENZOQUAT,CN1C(=CC(=[N+]1C)C2=CC=CC=C2)C3=CC=CC=C3.COS(=O)(=O)[O-],1.2478227100078279,25,26,3,1,360.4350000000002,0,3,3,75.24,,Non-Drug,CHEMBL1867054
DIFENZOQUAT,CN1C(=CC(=[N+]1C)C2=CC=CC=C2)C3=CC=CC=C3,1.6365119555521588,19,21,2,1,249.33700000000005,0,3,2,8.809999999999999,,Non-Drug,CHEMBL2096924
DIHYDROMYRICETIN,C1=C(C=C(C(=C1O)O)O)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O,-5.286386755982314,23,25,3,1,320.253,6,3,1,147.68,,Non-Drug,CHEMBL3348861
DIISOBUTYL PHTHALATE,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,1.052435088939033,20,20,3,1,278.348,0,1,6,52.60000000000001,,Non-Drug,CHEMBL1370662
